PUBMEDID	DISEASE.TRAIT	ACCESSION_ID	N_num	HARMONISED_FILE_URL
33230300	Pulse pressure	GCST012377	445360	NA
33230300	Systolic blood pressure	GCST012376	445360	NA
33230300	Diastolic blood pressure	GCST012378	445360	NA
32242144	Serum 25-Hydroxyvitamin D levels	GCST90000618	496946	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000618/harmonised/32242144-GCST90000618-EFO_0004631.h.tsv.gz
32888493	Mean platelet volume	GCST90002349	484042	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002349/harmonised/32888493-GCST90002349-EFO_0004584.h.tsv.gz
30038396	Educational attainment (years of education)	GCST006442	1131881	NA
33418499	Estimated glomerular filtration rate	GCST90093093	23732	NA
31669095	Waist circumference adjusted for body mass index	GCST009867	457690	NA
33230300	Hypertension	GCST90000060	810865	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000060/harmonised/33230300-GCST90000060-EFO_0000537.h.tsv.gz
33230300	Pulse pressure	GCST90000061	810865	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000061/harmonised/33230300-GCST90000061-EFO_0005763.h.tsv.gz
33230300	Diastolic blood pressure	GCST90000059	810865	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000059/harmonised/33230300-GCST90000059-EFO_0006336.h.tsv.gz
32888494	Lymphocyte percentage of white cells	GCST90002389	408112	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002389/harmonised/32888494-GCST90002389-EFO_0007993.h.tsv.gz
32895543	Episodic memory (pairs-matching)	GCST90011295	331679	NA
32895543	Executive function (trail making test B)	GCST90011296	78547	NA
32895543	Information processing speed (symbol digit substitution)	GCST90011297	87741	NA
32895543	Verbal-numerical reasoning	GCST90011298	171304	NA
33875891	IDP SWI T2star right pallidum	GCST90003870	20043	NA
33875891	rfMRI connectivity (ICA100 edge 380)	GCST90005233	21081	NA
33875891	ThalamNuclei lh volume PuA	GCST90002720	21282	NA
33875891	ThalamNuclei lh volume Pf	GCST90002722	21282	NA
33875891	ThalamNuclei lh volume VAmc	GCST90002723	21282	NA
33875891	ThalamNuclei lh volume MDl	GCST90002724	21282	NA
33875891	ThalamNuclei lh volume CeM	GCST90002725	21282	NA
33875891	ThalamNuclei lh volume VLp	GCST90002734	21282	NA
33875891	ThalamNuclei rh volume MGN	GCST90002737	21282	NA
33875891	ThalamNuclei rh volume PuI	GCST90002738	21282	NA
33875891	ThalamNuclei rh volume CM	GCST90002742	21282	NA
33875891	ThalamNuclei rh volume Pf	GCST90002746	21282	NA
33875891	IDP SWI T2star right putamen	GCST90003868	20043	NA
33875891	IDP SWI T2star left pallidum	GCST90003869	20043	NA
33230300	Systolic blood pressure	GCST90000062	810865	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000062/harmonised/33230300-GCST90000062-EFO_0006335.h.tsv.gz
33067605	Pro-interleukin-16 levels	GCST90012049	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012049/harmonised/33067605-GCST90012049-EFO_0010629.h.tsv.gz
33067605	Matrix metalloproteinase-10 levels	GCST90012050	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012050/harmonised/33067605-GCST90012050-EFO_0010589.h.tsv.gz
33067605	Urokinase plasminogen activator surface receptor levels	GCST90012051	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012051/harmonised/33067605-GCST90012051-EFO_0004747.h.tsv.gz
33067605	C-C motif chemokine 4 levels	GCST90012052	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012052/harmonised/33067605-GCST90012052-EFO_0004747.h.tsv.gz
33067605	TNF-related activation-induced cytokine levels	GCST90012044	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012044/harmonised/33067605-GCST90012044-EFO_0004747.h.tsv.gz
33067605	Hepatocyte growth factor levels	GCST90012045	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012045/harmonised/33067605-GCST90012045-EFO_0006903.h.tsv.gz
33067605	P-selectin glycoprotein ligand 1 levels	GCST90012046	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012046/harmonised/33067605-GCST90012046-EFO_0004747.h.tsv.gz
33067605	Myoglobin levels	GCST90012047	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012047/harmonised/33067605-GCST90012047-EFO_0005057.h.tsv.gz
33067605	Thrombomodulin levels	GCST90012048	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012048/harmonised/33067605-GCST90012048-EFO_0007774.h.tsv.gz
33067605	Chitinase-3-like protein 1 levels	GCST90012039	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012039/harmonised/33067605-GCST90012039-EFO_0004869.h.tsv.gz
33067605	ST2 protein levels	GCST90012040	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012040/harmonised/33067605-GCST90012040-EFO_0010599.h.tsv.gz
33067605	Kidney injury molecule 1 levels	GCST90012041	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012041/harmonised/33067605-GCST90012041-EFO_0004747.h.tsv.gz
33067605	Membrane-bound aminopeptidase P levels	GCST90012043	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012043/harmonised/33067605-GCST90012043-EFO_0004747.h.tsv.gz
33067605	Pappalysin-1 levels	GCST90012036	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012036/harmonised/33067605-GCST90012036-EFO_0010618.h.tsv.gz
33067605	Pentraxin-related protein PTX3 levels	GCST90012037	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012037/harmonised/33067605-GCST90012037-EFO_0004747.h.tsv.gz
33067605	Renin levels	GCST90012038	21758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012038/harmonised/33067605-GCST90012038-EFO_0010616.h.tsv.gz
33541420	Alzheimer's disease or body fat percentage (pleiotropy)	GCST90013832	555974	NA
33541420	Alzheimer's disease or diastolic blood pressure (pleiotropy)	GCST90013835	1462121	NA
33541420	Alzheimer's disease or HDL levels (pleiotropy)	GCST90013836	859386	NA
33541420	Alzheimer's disease or LDL levels (pleiotropy)	GCST90013837	859386	NA
