PUBMEDID	STUDY	DISEASE.TRAIT	ACCESSION_ID	EFO_ID	N	N_num	HAS_SUM_STATS	HARMONISED_FILE_URL
29273806	 Asthma_Demenais_2017	Asthma	GCST005212	MONDO_0004979	19,954 European ancestry cases, 107,715 European ancestry controls, 2,149 African ancestry cases, 6,055 African ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls	142486	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005212/harmonised/29273806-GCST005212-EFO_0000270.h.tsv.gz
30271922	 Risk-Taking_Clifton_2018	Self-reported risk-taking behaviour	GCST006810	EFO_0008579	113,882 European ancestry cases, 322,354 European ancestry controls	436236	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006810/harmonised/30271922-GCST006810-EFO_0008579.h.tsv.gz
23143594	 Psoriasis_Tsoi_2012	Psoriasis	GCST005527	EFO_0000676	10,588 European ancestry cases, 22,806 European ancestry controls	33394	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005527/harmonised/23143594-GCST005527-EFO_0000676.h.tsv.gz
22561518	 Vitilogo_Jin_2012	Vitiligo	GCST001509	EFO_0004208	418 European ancestry cases, 2,810 European ancestry controls        	3228	True	
22057235	 Celiac-Disease_Trynka_2011	Celiac disease	GCST005523	EFO_0001060	11,812 European ancestry cases, 229 Indian ancestry cases, 11,837 European ancestry controls, 391 Indian ancestry controls	24269	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005523/harmonised/22057235-GCST005523-EFO_0001060.h.tsv.gz
21980299	 Type-1-Diabetes_Bradfield_2011	Type 1 diabetes	GCST001255	MONDO_0005147	9,934 European ancestry cases, 16,956 European ancestry controls	26890	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001255/harmonised/21980299-GCST001255-EFO_0001359.h.tsv.gz
24076602	 Multiple-Sclerosis_Beechman_2013	Multiple sclerosis	GCST005531	MONDO_0005301	14,498 European ancestry cases, 24,091 European ancestry controls	38582	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005531/harmonised/24076602-GCST005531-EFO_0003885.h.tsv.gz
26502338	 Lupus_Bentham_2015	Systemic lupus erythematosus	GCST003156	EFO_0002690	5,201 European ancestry cases, 9,066 European ancestry controls	14267	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003156/harmonised/26502338-GCST003156-EFO_0002690.h.tsv.gz
31619474	 Asthma_Zhu_2019	Asthma (adult onset)	GCST008918	EFO_1002011	22,296 European ancestry cases, 347,481 European ancestry controls	369777	True	
31619474	 Asthma_Zhu_2019	Asthma (childhood onset)	GCST008917	MONDO_0005405	9,676 European ancestry cases, 347,481 European ancestry controls	357157	True	
31619474	 Asthma_Zhu_2019	Asthma	GCST008916	MONDO_0004979	46,802 European ancestry cases, 347,481 European ancestry controls	394283	True	
