EFO_ID,DISEASE_TRAIT,ACCESSION_ID,N,N_num,HAS_SUM_STATS,HARMONISED_FILE_URL,N_gt_10k,download,download_cmd,download_cmd2,trait
EFO_0006335,Systolic_blood_pressure,GCST006228,"120,473 European ancestry individuals, 21,503 African American individuals, 4,586 Hispanic individuals",146562,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006228/harmonised/27618448-GCST006228-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006228/harmonised/27618448-GCST006228-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006228/harmonised/27618448-GCST006228-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST006228
EFO_0006335,Systolic_blood_pressure,GCST008044,"11,380 African American individuals, 21,549 Hispanic/Latino individuals, 1,086 Asian ancestry individuals, 636 Native American ancestry individuals, 782 individuals",35433,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008044/harmonised/31217584-GCST008044-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008044/harmonised/31217584-GCST008044-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008044/harmonised/31217584-GCST008044-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST008044
EFO_0006335,Systolic_blood_pressure,GCST006259,"up to 201,529 European ancestry individuals",201529,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006259/harmonised/27618452-GCST006259-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006259/harmonised/27618452-GCST006259-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006259/harmonised/27618452-GCST006259-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST006259
EFO_0006335,Systolic_blood_pressure,GCST90029011,"469,767 European ancestry individuals",469767,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029011/harmonised/29892013-GCST90029011-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029011/harmonised/29892013-GCST90029011-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90029001-GCST90030000/GCST90029011/harmonised/29892013-GCST90029011-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90029011
EFO_0006335,Systolic_blood_pressure,GCST90000062,"810,865 European ancestry individuals",810865,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000062/harmonised/33230300-GCST90000062-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000062/harmonised/33230300-GCST90000062-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000062/harmonised/33230300-GCST90000062-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90000062
EFO_0006335,Systolic_blood_pressure,GCST90000066,"810,865 European ancestry individuals, 21,077 African American individuals, 33,689 South Asian ancestry individuals, 4,586 Hispanic individuals",870217,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000066/harmonised/33230300-GCST90000066-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000066/harmonised/33230300-GCST90000066-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90000001-GCST90001000/GCST90000066/harmonised/33230300-GCST90000066-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90000066
EFO_0006335,Systolic_blood_pressure,GCST90025968,"422,713 European ancestry individuals",422713,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025968/harmonised/34226706-GCST90025968-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025968/harmonised/34226706-GCST90025968-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90025001-GCST90026000/GCST90025968/harmonised/34226706-GCST90025968-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90025968
EFO_0006335,Systolic_blood_pressure_automated_reading_UKB_data_field_4080,GCST90014018,"385,798 British ancestry individuals",385798,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014018/harmonised/34017140-GCST90014018-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014018/harmonised/34017140-GCST90014018-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90014001-GCST90015000/GCST90014018/harmonised/34017140-GCST90014018-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_automated_reading_UKB_data_field_4080_GCST90014018
EFO_0006335,Systolic_blood_pressure,GCST90018972,"340,159 European ancestry individuals, 145,505 East Asian ancestry individuals",485664,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018972/harmonised/34594039-GCST90018972-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018972/harmonised/34594039-GCST90018972-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018972/harmonised/34594039-GCST90018972-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90018972
EFO_0006335,Systolic_blood_pressure,GCST90018752,"145,505 East Asian ancestry individuals",145505,TRUE,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018752/harmonised/34594039-GCST90018752-EFO_0006335.h.tsv.gz,TRUE,TRUE,wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018752/harmonised/34594039-GCST90018752-EFO_0006335.h.tsv.gz,proxy wget -b -c -t 0 http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90018001-GCST90019000/GCST90018752/harmonised/34594039-GCST90018752-EFO_0006335.h.tsv.gz,Systolic_blood_pressure_GCST90018752
