Lead_SNP    Loci_range
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
chr1_1444245    chr1:1434233:1454178
